code,current,team,team_gender,country_code,country,country_long,discipline,disciplines_code,events,num_athletes,num_coaches
ARCMTEAM3---CHN01,TRUE,People's Republic of China,M,CHN,China,People's Republic of China,Archery,ARC,Men's Team,3,
ARCMTEAM3---COL01,TRUE,Colombia,M,COL,Colombia,Colombia,Archery,ARC,Men's Team,3,
ARCMTEAM3---FRA01,TRUE,France,M,FRA,France,France,Archery,ARC,Men's Team,3,
ARCMTEAM3---GBR01,TRUE,Great Britain,M,GBR,Great Britain,Great Britain,Archery,ARC,Men's Team,3,
ARCMTEAM3---IND01,TRUE,India,M,IND,India,India,Archery,ARC,Men's Team,3,
ARCMTEAM3---ITA01,TRUE,Italy,M,ITA,Italy,Italy,Archery,ARC,Men's Team,3,
ARCMTEAM3---JPN01,TRUE,Japan,M,JPN,Japan,Japan,Archery,ARC,Men's Team,3,
ARCMTEAM3---KAZ01,TRUE,Kazakhstan,M,KAZ,Kazakhstan,Kazakhstan,Archery,ARC,Men's Team,3,
ARCMTEAM3---KOR01,TRUE,Republic of Korea,M,KOR,Korea,Republic of Korea,Archery,ARC,Men's Team,3,
ARCMTEAM3---MEX01,TRUE,Mexico,M,MEX,Mexico,Mexico,Archery,ARC,Men's Team,3,
ARCMTEAM3---TPE01,TRUE,Chinese Taipei,M,TPE,Chinese Taipei,Chinese Taipei,Archery,ARC,Men's Team,3,
ARCMTEAM3---TUR01,TRUE,Türkiye,M,TUR,Türkiye,Türkiye,Archery,ARC,Men's Team,3,
ARCWTEAM3---CHN01,TRUE,People's Republic of China,W,CHN,China,People's Republic of China,Archery,ARC,Women's Team,3,
ARCWTEAM3---FRA01,TRUE,France,W,FRA,France,France,Archery,ARC,Women's Team,3,
ARCWTEAM3---GBR01,TRUE,Great Britain,W,GBR,Great Britain,Great Britain,Archery,ARC,Women's Team,3,
ARCWTEAM3---GER01,TRUE,Germany,W,GER,Germany,Germany,Archery,ARC,Women's Team,3,
ARCWTEAM3---INA01,TRUE,Indonesia,W,INA,Indonesia,Indonesia,Archery,ARC,Women's Team,3,
ARCWTEAM3---IND01,TRUE,India,W,IND,India,India,Archery,ARC,Women's Team,3,
